id,lat_wc,lon_wc,display_name_wc,zone_wc,lines_wc,rail_wc,name_wc,lon_tfl,lat_tfl,name_tfl,name,x_do,y_do,lat,lon,zone_do
70,51.5223,-0.0173,Devons<br />Road,2,1,0,Devons Road,-0.017224616322978,51.5221750805448,Devons Road Station,Devons Road,537603,182233,51.522258469272,-0.017993342742124,2
71,51.552,-0.2387,Dollis<br />Hill,3,1,0,Dollis Hill,-0.238797558508157,51.5519035590561,Dollis Hill Station,Dollis Hill,522207,185132,51.551850619529,-0.23878334100376,3
72,51.5152,-0.3017,Ealing<br />Broadway,3,2,1,Ealing Broadway,-0.301500096369187,51.5149130337392,Ealing Broadway Station,Ealing Broadway,517920,180915,51.51486201146,-0.30199597251937,3
73,51.5101,-0.2882,Ealing<br />Common,3,2,0,Ealing Common,-0.288260381056999,51.5101247385378,Ealing Common Station,Ealing Common,518963,180426,51.510248690463,-0.28713701041592,3
74,51.492,-0.1973,Earl's<br />Court,1.5,2,0,Earl's Court,-0.193545854058734,51.4918039078989,Earl's Court Station,Earls Court,525457,178480,51.491356695274,-0.19429940765557,"1,2"
76,51.5168,-0.2474,East<br />Acton,2,1,0,East Acton,-0.247513203550208,51.5165821990542,East Acton Station,East Acton,521656,181159,51.516263444214,-0.2480978154307,2
77,51.5874,-0.165,East<br />Finchley,3,1,0,East Finchley,-0.164738305623224,51.587271719132,East Finchley Station,East Finchley,527242,189204,51.587332564437,-0.16472945405368,3
78,51.5394,0.0518,East<br />Ham,3.5,2,0,East Ham,0.05147554883547,51.5389260365476,East Ham Station,East Ham,542373,184255,51.539246158049,0.051530710126145,"3,4"
79,51.5093,-0.0021,East<br />India,2.5,1,0,East India,-0.002748663563422,51.509041249108,East India Station,East India,538729,180753,51.508684006054,-0.00235592437985,"2,3"
80,51.4586,-0.2112,East<br />Putney,2.5,1,0,East Putney,-0.211003174222271,51.45880474635,East Putney Station,East Putney,524387,174840,51.458879808899,-0.21098384278422,"2,3"
75,51.5765,-0.397,NULL,5,2,0,Eastcote,-0.39684462718699,51.5764930445017,Eastcote Station,Eastcote,511191,187627,51.576551871493,-0.39680887105797,5
81,51.6137,-0.275,NULL,5,1,0,Edgware,-0.27497600604529,51.6136230798495,Edgware Station,Edgware,519527,192009,51.614229655466,-0.27507922607818,5
82,51.5199,-0.1679,Edgware<br />Road,1,1,0,Edgware Road (B),-0.170135073011915,51.520183893832,Edgware Road Bakerloo Station,Edgware Road (Bakerloo),527026,181778,51.520645381678,-0.17052514070378,1
83,51.5203,-0.17,Edgware<br />Road,1,3,0,Edgware Road (C),-0.167666130737584,51.5199204743673,Edgware Road Circle Station,Edgware Road (Circle/District/Hammersmith & City),527227,181711,51.51999806318,-0.1676538436008,1
84,51.4943,-0.1001,Elephant &<br />Castle,1.5,2,1,Elephant & Castle,-0.100729603883342,51.4957770472707,Elephant & Castle Station,Elephant and Castle,531940,179144,51.495849394281,-0.10072431173602,"1,2"
85,51.5496,0.1977,Elm<br />Park,6,1,0,Elm Park,0.199180459239238,51.5498012539869,Elm Park Station,Elm Park,552446,185647,51.549124559422,0.19726710182967,6
86,51.4693,-0.0174,Elverson<br />Road,2.5,1,0,Elverson Road,-0.017467307436164,51.4688194275903,Elverson Road Station,Elverson Road,537848,176243,51.468372191483,-0.016801981736488,"2,3"
87,51.5074,-0.1223,NULL,1,4,0,Embankment,-0.122360215814179,51.5072417967484,Embankment Station,Embankment,530406,180380,51.507312509276,-0.12235292981979,1
88,51.6937,0.1139,NULL,6,1,0,Epping,0.113866915583571,51.6936246075655,Epping Station,Epping,546197,201552,51.69368615157,0.11384001852178,6
89,51.5282,-0.1337,NULL,1,2,1,Euston,-0.133289718799316,51.5285962608995,Euston Station,Euston,529587,182735,51.528664346375,-0.13328205840994,1
90,51.526,-0.1359,Euston<br />Square,1,3,0,Euston Square,-0.13583614069432,51.5255610060161,Euston Square Station,Euston Square,529587,182735,51.528664346375,-0.13328205840994,1
91,51.596,0.0912,NULL,5,1,0,Fairlop,0.090929226191152,51.595680931861,Fairlop Station,Fairlop,544902,190655,51.59610953153,0.090607714208087,4
92,51.5203,-0.1053,NULL,1,3,1,Farringdon,-0.10506525423688,51.5204447549308,Farringdon Station,Farringdon,531585,181844,51.520195700647,-0.10482865117184,1
93,51.6012,-0.1932,Finchley<br />Central,4,1,0,Finchley Central,-0.192447107072111,51.6009764207852,Finchley Central Station,Finchley Central,525232,190664,51.600903273752,-0.19320620063466,4
94,51.5472,-0.1803,Finchley<br />Road,2,2,0,Finchley Road,-0.180494175915812,51.5470648343368,Finchley Road Station,Finchley Road,526293,184703,51.547096220268,-0.18003614128656,2
319,,,,,,,,,,,Finchley Road and Frognal,526035,185033,51.550119520279,-0.18363678247277,2
95,51.5642,-0.1065,Finsbury<br />Park,2,1,1,Finsbury Park,-0.106512100282158,51.5644016484846,Finsbury Park Station,Finsbury Park,531385,186784,51.564635458062,-0.10586706135916,2
320,,,,,,,,,,,Forest Hill,535398,172943,51.439308318386,-0.053314119078799,3
96,51.4804,-0.195,Fulham<br />Broadway,2,1,0,Fulham Broadway,-0.194956844603216,51.4805297842982,Fulham Broadway Station,Fulham Broadway,525402,177244,51.480260927016,-0.19552976561085,2
97,51.5096,0.0716,Gallions<br />Reach,3,1,0,Gallions Reach,0.072220032947865,51.509538091545,Gallions Reach Station,Gallions Reach,543873,180935,51.509034130657,0.071789801687878,3
